Ano;Area;NIVEL_1;REG_HIDR;DIV_HIDRO;NIVEL_2;NIVEL_3;GEOCODIGO;NOME;UF;REGIAO;MESOREGIAO;MICROREGIA
2020;25,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;24,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;100,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;20,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;75,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;107,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;117,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;22,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;14,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;16,00000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;16,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;11,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;73,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;51,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;120,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;70,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;67,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;79,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;36,90000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;6,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;52,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5208905;Goiﬂs;GO;Centro-Oeste;NOROESTE GOIANO;RIO VERMELHO
2020;30,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;58,20000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;23,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;112,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5210406;Itabera›;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;28,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5211404;Itau˛u;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;19,30000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5211404;Itau˛u;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;67,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;87,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;73,60000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;18,40000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;17,10000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;25,70000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;18,80000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5219506;Santa Rosa de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
2020;9,50000;B;RH do TOCANTINS_ARAGUAIA;Tocantins / Araguaia;TOCANTINS;ALTO TOCANTINS;5216809;Petrolina de Goiﬂs;GO;Centro-Oeste;CENTRO GOIANO;ANAPOLIS
